,LONELY2,SATJOB,MOREDAYS,WRKHOME,HLTHPHYS,HLTHMNTL,CONWKDAY,PARTLSC,AGE,MARITAL,EDUC,is_si,marital_cat,MOREWEEKS,Age Group
1907,2.0,2.0,10.0,1.0,4.0,4.0,2.0,3.0,34.0,5.0,2,0,0,2,2
1908,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,28.0,1.0,4,0,1,1,1
1914,2.0,3.0,0.0,1.0,1.0,2.0,2.0,5.0,20.0,5.0,1,0,0,0,1
1918,3.0,2.0,2.0,1.0,3.0,2.0,5.0,4.0,60.0,5.0,2,1,0,1,4
1920,1.0,3.0,0.0,1.0,3.0,3.0,2.0,5.0,31.0,1.0,3,0,1,0,2
1923,5.0,2.0,3.0,1.0,4.0,5.0,6.0,5.0,38.0,5.0,3,1,0,1,2
1925,2.0,1.0,3.0,1.0,2.0,3.0,5.0,3.0,60.0,3.0,4,0,0,1,4
1927,1.0,2.0,4.0,1.0,4.0,3.0,2.0,4.0,25.0,5.0,2,0,0,1,1
1932,3.0,3.0,0.0,1.0,4.0,4.0,1.0,5.0,30.0,4.0,1,1,0,0,2
1935,3.0,1.0,0.0,6.0,2.0,2.0,3.0,1.0,41.0,1.0,4,1,1,0,2
1937,2.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,26.0,1.0,4,0,1,1,1
1944,1.0,2.0,18.0,2.0,2.0,3.0,3.0,2.0,44.0,1.0,4,0,1,3,2
1956,3.0,1.0,20.0,5.0,3.0,3.0,1.0,1.0,49.0,3.0,4,1,0,3,3
1960,4.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,69.0,3.0,3,1,0,1,4
1963,1.0,2.0,0.0,1.0,3.0,3.0,2.0,5.0,42.0,3.0,1,0,0,0,2
1968,4.0,2.0,1.0,1.0,5.0,4.0,6.0,1.0,28.0,3.0,3,1,0,1,1
1971,2.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,32.0,5.0,4,0,0,0,2
1973,1.0,3.0,10.0,1.0,3.0,2.0,6.0,4.0,59.0,1.0,3,0,1,2,3
1974,1.0,2.0,0.0,1.0,3.0,4.0,3.0,5.0,38.0,1.0,1,0,1,0,2
1979,1.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,42.0,1.0,1,0,1,1,2
1982,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,34.0,5.0,4,1,0,1,2
1985,4.0,2.0,8.0,1.0,4.0,3.0,1.0,5.0,35.0,1.0,3,1,1,2,2
2001,2.0,1.0,2.0,5.0,2.0,2.0,4.0,3.0,60.0,3.0,3,0,0,1,4
2003,3.0,1.0,0.0,5.0,2.0,3.0,3.0,4.0,55.0,1.0,4,1,1,0,3
2006,5.0,2.0,0.0,1.0,3.0,4.0,2.0,3.0,29.0,5.0,4,1,0,0,1
2012,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,25.0,5.0,4,1,0,1,1
2015,2.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,53.0,1.0,2,0,1,1,3
2024,1.0,1.0,5.0,1.0,2.0,2.0,4.0,2.0,44.0,1.0,4,0,1,1,2
2026,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,44.0,5.0,4,1,0,1,2
2028,1.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,41.0,3.0,3,0,0,1,2
2033,2.0,1.0,0.0,1.0,2.0,2.0,4.0,2.0,25.0,1.0,3,0,1,0,1
2034,1.0,2.0,1.0,5.0,3.0,3.0,4.0,1.0,62.0,1.0,3,0,1,1,4
2037,3.0,1.0,20.0,1.0,3.0,3.0,4.0,4.0,36.0,4.0,1,1,0,3,2
2043,4.0,2.0,0.0,1.0,1.0,2.0,1.0,5.0,50.0,3.0,3,1,0,0,3
2050,4.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,44.0,1.0,2,1,1,1,2
2055,4.0,2.0,20.0,4.0,3.0,2.0,4.0,4.0,36.0,5.0,2,1,0,3,2
2063,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,54.0,1.0,4,0,1,0,3
2065,1.0,1.0,10.0,1.0,1.0,1.0,3.0,4.0,37.0,5.0,2,0,0,2,2
2068,1.0,1.0,1.0,1.0,3.0,3.0,6.0,5.0,52.0,1.0,3,0,1,1,3
2076,2.0,2.0,20.0,3.0,3.0,3.0,5.0,4.0,28.0,5.0,4,0,0,3,1
2079,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,26.0,1.0,2,0,1,1,1
2086,1.0,1.0,0.0,1.0,3.0,3.0,2.0,5.0,64.0,1.0,2,0,1,0,4
2087,2.0,1.0,28.0,1.0,2.0,2.0,2.0,1.0,36.0,1.0,3,0,1,4,2
2091,2.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,37.0,1.0,4,0,1,1,2
2093,1.0,1.0,10.0,6.0,1.0,1.0,6.0,1.0,40.0,1.0,3,0,1,2,2
2099,1.0,1.0,3.0,1.0,2.0,2.0,4.0,5.0,44.0,2.0,4,0,0,1,2
2102,2.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,27.0,5.0,2,0,0,1,1
2106,1.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,63.0,1.0,4,0,1,1,4
2108,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,56.0,1.0,4,0,1,1,3
2110,1.0,1.0,5.0,5.0,4.0,3.0,6.0,3.0,34.0,5.0,3,0,0,1,2
2120,5.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,48.0,4.0,3,1,0,1,3
2121,1.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0,52.0,1.0,3,0,1,1,3
2123,2.0,1.0,2.0,1.0,4.0,3.0,5.0,4.0,39.0,1.0,3,0,1,1,2
2125,4.0,2.0,5.0,1.0,4.0,2.0,6.0,3.0,30.0,5.0,3,1,0,1,2
2128,1.0,3.0,4.0,1.0,3.0,1.0,4.0,5.0,36.0,1.0,4,0,1,1,2
2133,1.0,1.0,7.0,3.0,1.0,1.0,2.0,4.0,59.0,1.0,4,0,1,1,3
2136,1.0,2.0,0.0,1.0,4.0,3.0,3.0,5.0,37.0,1.0,2,0,1,0,2
2137,1.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0,72.0,1.0,4,0,1,0,4
2144,1.0,1.0,5.0,1.0,3.0,2.0,3.0,3.0,89.0,2.0,2,0,0,1,4
2150,4.0,2.0,0.0,1.0,3.0,3.0,1.0,5.0,46.0,3.0,1,1,0,0,3
2152,1.0,1.0,0.0,1.0,4.0,4.0,3.0,5.0,34.0,5.0,3,0,0,0,2
2154,4.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,32.0,5.0,2,1,0,0,2
2159,3.0,2.0,4.0,1.0,2.0,2.0,3.0,5.0,39.0,3.0,2,1,0,1,2
2161,5.0,4.0,15.0,4.0,4.0,5.0,3.0,3.0,33.0,5.0,4,1,0,3,2
2164,3.0,1.0,8.0,1.0,3.0,2.0,3.0,3.0,47.0,5.0,2,1,0,2,3
2167,1.0,1.0,0.0,1.0,3.0,2.0,3.0,5.0,55.0,5.0,1,0,0,0,3
2168,1.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,55.0,1.0,1,0,1,0,3
2172,3.0,1.0,1.0,1.0,4.0,3.0,6.0,1.0,29.0,5.0,2,1,0,1,1
2175,1.0,1.0,15.0,1.0,3.0,3.0,5.0,3.0,37.0,3.0,2,0,0,3,2
2182,1.0,1.0,30.0,5.0,1.0,1.0,3.0,3.0,52.0,1.0,2,0,1,4,3
2191,1.0,1.0,15.0,3.0,3.0,2.0,3.0,2.0,39.0,1.0,4,0,1,3,2
2198,5.0,2.0,0.0,1.0,3.0,3.0,2.0,5.0,39.0,5.0,4,1,0,0,2
2203,3.0,4.0,0.0,1.0,3.0,3.0,3.0,1.0,35.0,5.0,3,1,0,0,2
2206,1.0,1.0,20.0,5.0,2.0,2.0,5.0,3.0,33.0,1.0,4,0,1,3,2
2207,4.0,1.0,0.0,1.0,3.0,3.0,4.0,5.0,25.0,5.0,2,1,0,0,1
2210,2.0,2.0,1.0,4.0,2.0,3.0,6.0,3.0,50.0,1.0,4,0,1,1,3
2217,1.0,2.0,8.0,1.0,3.0,3.0,5.0,3.0,42.0,5.0,2,0,0,2,2
2225,1.0,2.0,7.0,1.0,3.0,3.0,1.0,2.0,29.0,5.0,4,0,0,1,1
2227,1.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,32.0,5.0,1,0,0,1,2
2228,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,27.0,5.0,3,0,0,1,1
2233,2.0,2.0,1.0,6.0,4.0,4.0,1.0,5.0,51.0,5.0,1,0,0,1,3
2234,1.0,1.0,0.0,1.0,5.0,2.0,3.0,5.0,56.0,1.0,1,0,1,0,3
2237,3.0,3.0,0.0,1.0,4.0,4.0,6.0,5.0,53.0,1.0,1,1,1,0,3
2242,1.0,1.0,25.0,1.0,2.0,2.0,6.0,3.0,45.0,3.0,2,0,0,4,3
2247,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,55.0,1.0,2,0,1,1,3
2253,2.0,1.0,3.0,3.0,2.0,2.0,3.0,5.0,29.0,3.0,2,0,0,1,1
2256,3.0,1.0,0.0,1.0,4.0,3.0,5.0,3.0,37.0,3.0,2,1,0,0,2
2260,3.0,2.0,15.0,5.0,4.0,2.0,1.0,3.0,24.0,5.0,4,1,0,3,1
2262,5.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,30.0,5.0,1,1,0,1,2
2266,1.0,1.0,0.0,1.0,3.0,3.0,4.0,5.0,65.0,1.0,2,0,1,0,4
2269,3.0,3.0,4.0,1.0,3.0,4.0,3.0,5.0,46.0,3.0,2,1,0,1,3
2275,3.0,2.0,3.0,1.0,4.0,5.0,3.0,5.0,56.0,1.0,3,1,1,1,3
2278,1.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,68.0,5.0,4,0,0,0,4
2279,1.0,1.0,0.0,1.0,3.0,3.0,6.0,3.0,30.0,1.0,2,0,1,0,2
2296,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,30.0,5.0,1,1,0,1,2
2305,1.0,2.0,15.0,1.0,3.0,2.0,3.0,5.0,40.0,1.0,2,0,1,3,2
2318,1.0,2.0,0.0,1.0,2.0,3.0,2.0,5.0,52.0,3.0,2,0,0,0,3
2319,1.0,2.0,0.0,1.0,3.0,3.0,2.0,5.0,68.0,1.0,1,0,1,0,4
2321,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,53.0,1.0,3,0,1,1,3
2322,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,43.0,1.0,3,0,1,1,2
2326,1.0,1.0,20.0,1.0,2.0,3.0,5.0,1.0,39.0,5.0,2,0,0,3,2
2330,1.0,2.0,10.0,5.0,3.0,2.0,4.0,5.0,50.0,1.0,3,0,1,2,3
2336,4.0,3.0,20.0,2.0,2.0,4.0,4.0,1.0,25.0,5.0,4,1,0,3,1
