,LONELY2,SATJOB,MOREDAYS,WRKHOME,HLTHPHYS,HLTHMNTL,CONWKDAY,PARTLSC,AGE,MARITAL,EDUC,is_si,marital_cat,MOREWEEKS,Age Group
1238,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,36.0,5.0,3,0,0,1,2
1242,1.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,27.0,5.0,4,0,0,0,1
1243,1.0,2.0,4.0,1.0,2.0,2.0,4.0,5.0,24.0,5.0,4,0,0,1,1
1246,1.0,1.0,0.0,1.0,2.0,2.0,4.0,3.0,22.0,5.0,3,0,0,0,1
1248,1.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,33.0,5.0,1,0,0,0,2
1255,1.0,1.0,22.0,4.0,2.0,2.0,2.0,5.0,47.0,1.0,2,0,1,4,3
1258,4.0,1.0,0.0,1.0,3.0,3.0,1.0,5.0,22.0,5.0,2,1,0,0,1
1259,1.0,2.0,14.0,1.0,1.0,1.0,5.0,1.0,37.0,1.0,4,0,1,2,2
1262,3.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,32.0,1.0,4,1,1,1,2
1265,2.0,3.0,0.0,1.0,3.0,2.0,3.0,2.0,32.0,5.0,4,0,0,0,2
1271,2.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,57.0,4.0,1,0,0,1,3
1272,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,26.0,5.0,3,0,0,1,1
1280,1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,36.0,1.0,4,0,1,0,2
1281,3.0,1.0,25.0,2.0,3.0,2.0,3.0,5.0,69.0,1.0,4,1,1,4,4
1283,1.0,1.0,10.0,1.0,3.0,3.0,6.0,2.0,53.0,1.0,1,0,1,2,3
1284,1.0,1.0,22.0,2.0,3.0,1.0,3.0,3.0,55.0,4.0,2,0,0,4,3
1286,2.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,31.0,1.0,4,0,1,1,2
1288,1.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,68.0,3.0,3,0,0,1,4
1289,1.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,73.0,1.0,3,0,1,1,4
1291,2.0,1.0,2.0,1.0,3.0,4.0,4.0,5.0,30.0,5.0,2,0,0,1,2
1293,1.0,4.0,0.0,1.0,4.0,2.0,1.0,2.0,61.0,3.0,2,0,0,0,4
1294,4.0,1.0,5.0,1.0,3.0,4.0,1.0,5.0,69.0,2.0,1,1,0,1,4
1298,3.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,22.0,5.0,1,1,0,0,1
1300,4.0,2.0,0.0,1.0,2.0,3.0,1.0,5.0,56.0,5.0,4,1,0,0,3
1303,1.0,1.0,10.0,1.0,1.0,1.0,3.0,3.0,61.0,3.0,4,0,0,2,4
