,TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
1935,20181010181764,85,2,56,-1,0,5,-1,0,0,0,-1
1936,20181010182107,85,3,43,-1,0,2,-1,60,0,0,-1
1937,20181010182107,77,3,43,-1,0,3,-1,0,0,0,-1
1938,20181010182232,85,4,26,3,1,3,3,0,0,0,0
1939,20181010182273,85,4,34,2,0,6,-1,60,0,0,0
1940,20181010182391,80,4,33,4,0,2,-1,60,0,0,0
1941,20181010182391,80,4,34,4,0,3,-1,60,0,0,0
1942,20181010182463,53,1,33,-1,0,6,-1,0,0,0,-1
1943,20181109180700,85,2,34,-1,0,3,-1,60,0,0,-1
1944,20181109180963,80,3,47,-1,0,4,-1,60,0,0,-1
1945,20181109181018,79,4,26,4,1,7,7,0,0,0,0
1946,20181109181116,69,3,34,-1,0,5,-1,0,0,0,-1
1947,20181109181190,85,4,44,5,0,5,-1,60,0,0,0
1948,20181109181190,85,4,44,5,0,6,-1,0,0,0,0
1949,20181109181259,72,4,33,3,0,4,-1,0,0,0,0
1950,20181109181259,76,4,41,3,0,5,-1,0,0,0,0
1951,20181109181308,80,4,47,2,0,5,-1,60,0,0,0
1952,20181109181336,78,1,39,-1,0,4,-1,0,0,0,-1
1953,20181109181346,85,4,33,6,0,4,-1,60,0,0,0
1954,20181109181351,71,4,33,4,0,5,-1,0,0,0,0
1955,20181109181392,70,4,20,15,1,2,2,0,0,0,0
1956,20181109181496,85,1,34,-1,0,2,-1,60,0,0,-1
1957,20181109181500,75,1,34,-1,0,2,-1,0,0,0,-1
1958,20181109181500,75,1,33,-1,0,3,-1,0,0,0,-1
1959,20181109181690,85,2,47,-1,0,6,-1,60,0,0,-1
1960,20181109181694,65,4,47,10,0,5,-1,0,0,0,0
1961,20181109181694,70,4,48,10,0,6,-1,0,0,0,0
1962,20181109181716,85,1,42,-1,0,2,-1,60,0,0,-1
1963,20181109181913,85,4,47,3,0,3,-1,60,0,0,0
1964,20181109181941,85,1,39,-1,0,7,-1,60,0,0,-1
1965,20181109181941,85,1,40,-1,0,8,-1,60,0,0,-1
1966,20181109181975,74,1,40,-1,0,7,-1,0,0,0,-1
1967,20181109182094,78,4,33,4,0,5,-1,0,0,0,0
1968,20181109182094,80,4,34,4,0,6,-1,60,0,0,0
1969,20181109182181,76,1,34,-1,0,6,-1,0,0,0,-1
1970,20181109182197,80,4,24,2,1,2,2,60,0,0,0
1971,20181109182202,70,4,49,3,0,2,-1,0,0,0,0
1972,20181109182305,85,3,43,-1,0,3,-1,60,0,0,-1
1973,20181109182305,85,3,43,-1,0,4,-1,60,0,0,-1
1974,20181110180035,68,3,47,-1,0,3,-1,0,0,0,-1
1975,20181110180086,85,1,39,-1,0,3,-1,60,0,0,-1
1976,20181110180115,85,1,34,-1,0,6,-1,61,0,42,-1
1977,20181110180117,85,4,33,5,0,2,-1,60,0,0,0
1978,20181110180120,80,4,33,4,0,7,-1,60,0,0,0
1979,20181110180125,80,3,33,-1,0,3,-1,60,42,0,-1
1980,20181110180536,64,4,33,10,0,3,-1,0,0,0,0
1981,20181110180536,67,4,56,10,0,4,-1,0,0,0,0
1982,20181110180564,80,4,33,2,0,2,-1,60,0,0,0
1983,20181110180569,80,4,20,5,1,2,2,0,0,0,0
1984,20181110180638,80,1,47,-1,0,4,-1,60,0,0,-1
1985,20181110180657,85,4,33,5,0,3,-1,0,0,0,0
1986,20181110180678,85,1,47,-1,0,5,-1,0,0,0,-1
1987,20181110180712,67,1,56,-1,0,2,-1,0,0,0,-1
1988,20181110180755,85,1,39,-1,0,3,-1,60,0,0,-1
1989,20181110180774,80,1,44,-1,0,3,-1,0,0,0,-1
1990,20181110180774,62,1,44,-1,0,4,-1,0,0,0,-1
1991,20181110180774,80,3,56,-1,0,5,-1,60,0,0,-1
1992,20181110180774,68,1,56,-1,0,6,-1,0,0,0,-1
1993,20181110180774,48,3,56,-1,0,7,-1,0,0,0,-1
1994,20181110180785,80,3,38,-1,0,2,-1,60,0,0,-1
1995,20181110180813,85,4,56,5,0,2,-1,0,0,0,0
1996,20181110180813,85,3,43,-1,0,3,-1,60,0,0,-1
1997,20181110180815,74,3,39,-1,0,4,-1,0,0,0,-1
1998,20181110180907,80,4,43,2,0,4,-1,60,0,0,0
1999,20181110180942,85,2,33,-1,0,6,-1,60,0,0,-1
2000,20181110180956,77,4,20,2,1,2,2,0,0,0,0
2001,20181110180969,80,1,47,-1,0,3,-1,60,0,0,-1
2002,20181110180972,65,1,26,-1,1,7,7,0,0,0,-1
2003,20181110180994,85,4,33,4,0,3,-1,60,0,0,0
2004,20181110181067,68,4,43,3,0,2,-1,0,0,0,0
2005,20181110181067,72,4,49,4,0,3,-1,0,0,0,0
2006,20181110181074,72,4,38,4,0,3,-1,0,0,0,0
2007,20181110181092,85,4,41,3,0,4,-1,60,0,0,0
2008,20181110181092,85,4,41,3,0,5,-1,60,0,0,0
2009,20181110181116,80,4,39,2,0,2,-1,60,0,0,0
2010,20181110181156,85,4,33,10,0,4,-1,60,0,0,0
2011,20181110181192,85,4,33,10,0,2,-1,60,0,0,0
2012,20181110181210,69,4,33,2,0,5,-1,0,0,0,0
